SKpersonId,personStrId
gap0546,Centurione Anselmo^0^0^1677
gap0547,Centurioni Cornelio^0^0^1694
gap0548,Ceppi Vincenzo^0^0^1701
gap0549,Cerchi Alessandro de'^0^0^1686
gap0550,Cerchi Consiglio de'^0^0^1686
gap0551,Cerrini Donato^0^0^1696
gap0552,Cervioni Tommaso^0^0^1695
gap0555,Ceva Giovanni^0^0^1687
gap0556,Ceva Tommaso^0^0^1695
gap0557,Ce verini Giacomo Filippo^0^0^1689
gap0558,Cevoli del Carretto Francesco Maria^0^0^1705
gap0559,Cevoli del Carretto Niccol•^0^0^1697
gap0560,Chambreault di S. Germain de PrŠs^0^0^1687
gap0562,Checcozzi Giovanni^0^0^1714
gap0563,Chelli Giovanni Carlo^0^0^1690
gap0564,Cherubino da Bibbiena^0^0^1686
gap0565,Cherubino da Livorno^0^0^1679
gap0566,Chiarelli Giacomo^0^0^1674
gap0567,Chiari (?)^0^0^1667
gap0568,Chiari Gaetano^0^0^1677
gap0569,Chiari Giovanni Battista^0^0^1690
gap0570,Chierici Antonio^0^0^1700
gap0571,Chiesa Domenico^0^0^1666
gap0572,Chigi Francesco^0^0^1671
gap0574,Chimentelli Bartolomeo^0^0^1677
gap0576,Chouet Jean Antoine^0^0^1683
gap0578,Ciapetti Torello^0^0^1687
gap0579,Cicognini Jacopo^0^0^1707
gap0581,Cigala Giuseppe Maria^0^0^1695
gap0582,Cilli Ladislao^0^0^1671
gap0586,Cinelli Silvestro Maria^0^0^1685
gap0588,Ciogni Francesco^0^0^1704
gap0589,Ciogni Guglielmo^0^0^1693
gap0590,Ciriaci (?) [...]^0^0^1669
gap0591,Ciriaci Domenico^0^0^1708
gap0592,Ciriaci Eusebio Maria de'^0^0^1683
gap0593,Cirillo da Schio^0^0^1693
gap0594,Ciro di Pers^0^0^1698
gap0595,Cito Giovanni^0^0^1690
gap0596,Claude de Sainte Marguerite^0^0^1686
gap0597,Claudio Giorgio^0^0^1700
gap0598,Clewter Lorenzo^0^0^1693
gap0599,Cluvero p.^0^0^1709
gap0600,Cocceius J[ohannes]^0^0^1700
gap0601,Codde Petrus^0^0^1700
gap0604,Coleiani Giovanni^0^0^1690
gap0605,Colli Carlo^0^0^1676
gap0606,Colombo Giovanni^0^0^1698
gap0607,Colonia [Domenique de?]^0^0^1701
gap0608,Colosini abate (?)^0^0^1700
gap0610,Colzi Carlo^0^0^1680
gap0611,Colzi Giuliano^0^0^1677
gap0612,Combi Giovanni^0^0^1657
gap0615,Combi Sebastiano^0^0^1659
gap0617,Comneno Papadopoli Niccol•^0^0^1700
gap0618,Compagni Gregorio^0^0^1696
gap0619,Comparini Benedetto^0^0^1688
gap0620,Comparini Maddalena Angelica^0^0^1685
gap0622,Comparini Maria Francesca^0^0^1673
gap0623,Condilli Giorgio^0^0^1710
gap0626,Contarini Bernardo^0^0^1685
gap0627,Contenti Odoardo^0^0^1710
gap0629,Conti Alessandro^0^0^1680
gap0630,Conti Andrea^0^0^1705
gap0631,Conti Giovanni Battista^0^0^1655
gap0632,Conti Giuseppe Antonio^0^0^1688
gap0633,Conti Lodovico^0^0^1673
gap0634,Conti Paolo Antonio^0^0^1693
gap0635,Conventati Giovanni Battista^0^0^1704
gap0636,Conzatti Zaccaria^0^0^1684
gap0638,Coppi Giovanni Vincenzo^0^0^1693
gap0639,Corboli Leonora Celeste^0^0^1670
gap0640,Cordemoy [Louis G‚raud] de^0^0^1684
gap0641,Cordini Francesco^0^0^1688
gap0642,Core si Del Bruno Giovanni Vincenzo^0^0^1713
gap0643,Cornaro [Giorgio]^0^0^1701
gap0644,Corniani Giovan Fracesco^0^0^1677
gap0645,Corniani Giovanni Giacomo^0^0^1686
gap0646,Corniani Rocco^0^0^1676
gap0647,Coronelli Vincenzo Maria^1650^1718^0
gap0648,Corradi d'Austria Domenico de'^0^0^1709
gap0650,Corrazzari Pietro^0^0^1669
gap0651,Correggio Orazio^0^0^1704
gap0652,Corsi Domenico Maria^0^0^1674
gap0653,Corsi Giovanni Battista^0^0^1690
gap0654,Corsi Lorenzo^0^0^1676
gap0655,Corsini Bartolomeo^0^0^1676
gap0656,Corsini Filippo^0^0^1699
gap0657,Corsini Francesco Maria^0^0^1700
gap0658,Cortese Giuseppe Maria^0^0^1696
gap0659,Cortesi Fortunato^0^0^1702
gap0660,Cosci Clemente^0^0^1673
gap0662,Cosmi Stefano^0^0^1683
gap0663,Cossetti Francesco^0^0^1689
gap0664,Cosson Abraham^0^0^1701
gap0666,Costa Bartolomeo^0^0^1687
gap0667,Costa Giacomo^0^0^1670
gap0668,Costa Giovanni Battista^0^0^1690
gap0670,Costalta Giuseppe^0^0^1673
gap0671,Costantino Giulio Cesare^0^0^1679
gap0672,Court Carlo Catone de^0^0^1679
gap0673,Couterot Jean^0^0^1695
gap0674,Covi Camillo^0^0^1703
gap0675,Cranford Jacob^0^0^1677
gap0676,Crasso Bartolomeo^0^0^1687
gap0677,Crasso Lorenzo^0^0^1684
gap0678,Cremona Carlo Alessio^0^0^1691
gap0679,Crescenzi Alessandro^0^0^1685
gap0680,Crescimbeni Giovanni Mario^0^0^1697
gap0681,Cress Giorgio Cristoforo di Cres-senstein^0^0^1688
gap0683,Cress Pandolfo Cristoforo di Cres-senstein^0^0^1688
gap0684,Crovelsch Giovanni^0^0^1677
gap0685,Crozier Giovanni^0^0^1702
gap0687,Crusius Hans^0^0^1690
gap0688,Cugi Lorenzo^0^0^1663
gap0689,Cuningham Robert^0^0^1686
gap0691,Cunter Michele^0^0^1695
gap0693,Curini Urbano^0^0^1687
gap0694,Curione Ambrogio^0^0^1707
gap0695,Cutrona Antonio^0^0^1702
gap0696,D.P.M. Cav. C.A.Ba.^0^0^1712
gap0697,D'Afflitto Gennaro Maria^0^0^1669
gap0698,D'Andrea Francesco^0^0^1685
gap0700,D'Avanzo Francesco^0^0^1696
gap0701,D'Elci Filippo^0^0^1686
